Reporte de Detección de Vehículos

ID: 4111, Nombre: lluvia16.jpeg, Ubicación: uploads\lluvia16.jpeg, Tipo: automovil, Confianza: 72.97%, Fecha/Hora: 2025-01-12 10:55:51.071804, Tiempo: 0.308809s
ID: 4112, Nombre: lluvia23.jpg, Ubicación: uploads\lluvia23.jpg, Tipo: automovil, Confianza: 94.97%, Fecha/Hora: 2025-01-12 10:56:47.074572, Tiempo: 0.194875s
ID: 4113, Nombre: lluvia23.jpg, Ubicación: uploads\lluvia23.jpg, Tipo: automovil, Confianza: 92.04%, Fecha/Hora: 2025-01-12 10:56:47.076572, Tiempo: 0.194875s
ID: 4114, Nombre: lluvia23.jpg, Ubicación: uploads\lluvia23.jpg, Tipo: automovil, Confianza: 91.97%, Fecha/Hora: 2025-01-12 10:56:47.078570, Tiempo: 0.194875s
ID: 4115, Nombre: lluvia23.jpg, Ubicación: uploads\lluvia23.jpg, Tipo: camioneta, Confianza: 91.00%, Fecha/Hora: 2025-01-12 10:56:47.079569, Tiempo: 0.194875s
ID: 4116, Nombre: lluvia23.jpg, Ubicación: uploads\lluvia23.jpg, Tipo: automovil, Confianza: 25.33%, Fecha/Hora: 2025-01-12 10:56:47.081568, Tiempo: 0.194875s
ID: 4117, Nombre: lluvia23.jpg, Ubicación: uploads\lluvia23.jpg, Tipo: automovil, Confianza: 94.97%, Fecha/Hora: 2025-01-12 10:56:47.262634, Tiempo: 0.381938s
ID: 4118, Nombre: lluvia23.jpg, Ubicación: uploads\lluvia23.jpg, Tipo: automovil, Confianza: 92.04%, Fecha/Hora: 2025-01-12 10:56:47.264634, Tiempo: 0.381938s
ID: 4119, Nombre: lluvia23.jpg, Ubicación: uploads\lluvia23.jpg, Tipo: automovil, Confianza: 91.97%, Fecha/Hora: 2025-01-12 10:56:47.265633, Tiempo: 0.381938s
ID: 4120, Nombre: lluvia23.jpg, Ubicación: uploads\lluvia23.jpg, Tipo: camioneta, Confianza: 91.00%, Fecha/Hora: 2025-01-12 10:56:47.267652, Tiempo: 0.381938s
ID: 4121, Nombre: lluvia23.jpg, Ubicación: uploads\lluvia23.jpg, Tipo: automovil, Confianza: 25.33%, Fecha/Hora: 2025-01-12 10:56:47.268652, Tiempo: 0.381938s
ID: 4122, Nombre: lluvia6.jpg, Ubicación: uploads\lluvia6.jpg, Tipo: automovil, Confianza: 97.48%, Fecha/Hora: 2025-01-12 11:20:55.972661, Tiempo: 0.22886s
ID: 4123, Nombre: lluvia6.jpg, Ubicación: uploads\lluvia6.jpg, Tipo: automovil, Confianza: 96.71%, Fecha/Hora: 2025-01-12 11:20:55.975659, Tiempo: 0.22886s
ID: 4124, Nombre: lluvia6.jpg, Ubicación: uploads\lluvia6.jpg, Tipo: automovil, Confianza: 70.41%, Fecha/Hora: 2025-01-12 11:20:55.977658, Tiempo: 0.22886s
ID: 4125, Nombre: lluvia6.jpg, Ubicación: uploads\lluvia6.jpg, Tipo: automovil, Confianza: 97.48%, Fecha/Hora: 2025-01-12 11:20:56.176535, Tiempo: 0.432734s
ID: 4126, Nombre: lluvia6.jpg, Ubicación: uploads\lluvia6.jpg, Tipo: automovil, Confianza: 96.71%, Fecha/Hora: 2025-01-12 11:20:56.179533, Tiempo: 0.432734s
ID: 4127, Nombre: lluvia6.jpg, Ubicación: uploads\lluvia6.jpg, Tipo: automovil, Confianza: 70.41%, Fecha/Hora: 2025-01-12 11:20:56.180533, Tiempo: 0.432734s
